装备名字,装备名字,装备名字,装备名字
奇茸通天・头,海妖・战甲,天地の防,耀光复戒
奇茸通天・链,海妖・战袍,天地の魔,耀光护戒
奇茸通天・手,无形・道甲,神赐の光,耀金复戒
奇茸通天・镯,无形・道袍,神赐の明,耀金护戒
奇茸通天・戒,斩龙・法甲,封印の禅,耀玉复戒
奇茸通天・指,斩龙・法袍,封印の袍,耀玉护戒
奇茸通天・带,天地の防,鬼王の斩,耀金腰带
奇茸通天・靴,天地の魔,降魔の剑,耀金靴子
天茄弥陀・头,神赐の光,天界の扇,耀金头盔
天茄弥陀・链,神赐の明,鬼神の带,耀金项链
天茄弥陀・手,封印の禅,鬼神の靴,耀金手镯
天茄弥陀・镯,封印の袍,战神の帝,耀金麻戒
天茄弥陀・戒,鬼王の斩,精灵の翔,耀光腰带
天茄弥陀・指,降魔の剑,傀儡の隐,耀光靴子
天茄弥陀・带,天界の扇,凤凰の飞,耀光头盔
天茄弥陀・靴,海妖・头盔,幽灵の魔,耀光项链
八角玄冰・头,海妖・项链,诅咒の亡,耀光手镯
八角玄冰・链,海妖・手镯,玄清の带,耀光麻戒
八角玄冰・手,海妖・戒指,玄清の靴,耀玉腰带
八角玄冰・镯,海妖・腰带,魔王の眼,耀玉靴子
八角玄冰・戒,海妖・靴子,仙人の链,耀玉头盔
八角玄冰・指,斩龙・头盔,菩提の舍,耀玉项链
八角玄冰・带,斩龙・项链,杀伐の灵,耀玉手镯
八角玄冰・靴,斩龙・手镯,琉璃の塔,耀玉麻戒
烈火杏娇・头,斩龙・戒指,强者の魂,耀金战甲
烈火杏娇・链,斩龙・腰带,帝君の带,耀金战袍
烈火杏娇・手,斩龙・靴子,帝君の靴,耀金破斩
烈火杏娇・镯,无形・头盔,仙帝の王,耀光法甲
烈火杏娇・戒,无形・项链,幽灵の者,耀光法袍
烈火杏娇・指,无形・手镯,败魔の戾,耀光寒冰刃
烈火杏娇・带,无形・戒指,无极の道,耀玉道甲
烈火杏娇・靴,无形・腰带,道心の坚,耀玉道袍
幽香绮罗・头,无形・靴子,轮回の镜,耀玉青龙刀
幽香绮罗・链,魅影之刃,麒麟ぃ盔,碧玉战甲
幽香绮罗・手,火龙魔杖,麒麟ぃ链,碧玉战袍
幽香绮罗・镯,大道七彩,麒麟ぃ手,春暖花开叶
幽香绮罗・戒,鬼神の带,麒麟ぃ镯,幽光法甲
幽香绮罗・指,鬼神の靴,麒麟ぃ戒,幽光法袍
幽香绮罗・带,战神の帝,麒麟ぃ指,灵魂收割者
幽香绮罗・靴,精灵の翔,麒麟ぃ带,极光道甲
,傀儡の隐,麒麟ぃ靴,极光道袍
,凤凰の飞,朱雀ぃ盔,玉佛降魔杵
,幽灵の魔,朱雀ぃ链,碧玉腰带
,诅咒の亡,朱雀ぃ手,碧玉靴子
,玄清の带,朱雀ぃ镯,碧玉头盔
,玄清の靴,朱雀ぃ戒,碧玉项链
,魔王の眼,朱雀ぃ指,碧玉手镯
,仙人の链,朱雀ぃ带,碧玉戒指
,菩提の舍,朱雀ぃ靴,幽光腰带
,杀伐の灵,玄武ぃ盔,幽光靴子
,琉璃の塔,玄武ぃ链,幽光头盔
,强者の魂,玄武ぃ手,幽光项链
,帝君の带,玄武ぃ镯,幽光手镯
,帝君の靴,玄武ぃ戒,幽光戒指
,仙帝の王,玄武ぃ指,极光腰带
,幽灵の者,玄武ぃ带,极光靴子
,败魔の戾,玄武ぃ靴,极光头盔
,无极の道,金麟ぃ甲,极光项链
,道心の坚,金麟ぃ袍,极光手镯
,轮回の镜,赤炎ぃ甲,极光戒指
,麒麟ぃ盔,赤炎ぃ袍,
,麒麟ぃ链,玄天ぃ甲,
,麒麟ぃ手,玄天ぃ袍,
,麒麟ぃ镯,冰霜ぅ盔,
,麒麟ぃ戒,冰霜ぅ链,
,麒麟ぃ指,冰霜ぅ手,
,麒麟ぃ带,冰霜ぅ镯,
,麒麟ぃ靴,冰霜ぅ戒,
,朱雀ぃ盔,冰霜ぅ指,
,朱雀ぃ链,冰霜ぅ带,
,朱雀ぃ手,冰霜ぅ靴,
,朱雀ぃ镯,雪寂ぅ盔,
,朱雀ぃ戒,雪寂ぅ链,
,朱雀ぃ指,雪寂ぅ手,
,朱雀ぃ带,雪寂ぅ镯,
,朱雀ぃ靴,雪寂ぅ戒,
,玄武ぃ盔,雪寂ぅ指,
,玄武ぃ链,雪寂ぅ带,
,玄武ぃ手,雪寂ぅ靴,
,玄武ぃ镯,凛冬ぅ盔,
,玄武ぃ戒,凛冬ぅ链,
,玄武ぃ指,凛冬ぅ手,
,玄武ぃ带,凛冬ぅ镯,
,玄武ぃ靴,凛冬ぅ戒,
,,凛冬ぅ指,
,,凛冬ぅ带,
,,凛冬ぅ靴,
,,冰霜ぅ甲,
,,冰霜ぅ袍,
,,雪寂ぅ甲,
,,雪寂ぅ袍,
,,凛冬ぅ甲,
,,凛冬ぅ袍,
,,寂灭え盔,
,,寂灭え链,
,,寂灭え手,
,,寂灭え镯,
,,寂灭え戒,
,,寂灭え指,
,,寂灭え带,
,,寂灭え靴,
,,业火え盔,
,,业火え链,
,,业火え手,
,,业火え镯,
,,业火え戒,
,,业火え指,
,,业火え带,
,,业火え靴,
,,冥天え盔,
,,冥天え链,
,,冥天え手,
,,冥天え镯,
,,冥天え戒,
,,冥天え指,
,,冥天え带,
,,冥天え靴,
,,神罚之盔,
,,神罚之链,
,,神罚之手,
,,神罚之镯,
,,神罚之戒,
,,神罚之指,
,,神罚之带,
,,神罚之靴,
,,圣裁之盔,
,,圣裁之链,
,,圣裁之手,
,,圣裁之镯,
,,圣裁之戒,
,,圣裁之指,
,,圣裁之带,
,,圣裁之靴,
,,仙戮之盔,
,,仙戮之链,
,,仙戮之手,
,,仙戮之镯,
,,仙戮之戒,
,,仙戮之指,
,,仙戮之带,
,,仙戮之靴,
